Header Field,Original Header,Downsampled Header
sizeof_hdr,348,348
data_type,b'',b''
db_name,b'',b''
extents,0,0
session_error,0,0
regular,b'r',b'r'
dim_info,0,0
dim,[  3 240 320 320   1   1   1   1],[  3  48 320 320   1   1   1   1]
intent_p1,0.0,0.0
intent_p2,0.0,0.0
intent_p3,0.0,0.0
intent_code,0,0
datatype,16,16
bitpix,32,32
slice_start,0,0
pixdim,[1.  0.8 0.8 0.8 0.  0.  0.  0. ],[1.  4.  0.8 0.8 1.  1.  1.  1. ]
vox_offset,0.0,0.0
scl_slope,nan,nan
scl_inter,nan,nan
slice_end,0,0
slice_code,0,0
xyzt_units,10,10
cal_max,0.0,0.0
cal_min,0.0,0.0
slice_duration,0.0,0.0
toffset,0.0,0.0
glmax,0,0
glmin,0,0
descrip,b'6.0.0',b'6.0.0'
aux_file,b'',b''
qform_code,1,0
sform_code,0,2
quatern_b,-0.06856307,-0.06856307
quatern_c,-0.015582562,-0.015582562
quatern_d,-0.019387364,-0.019387364
qoffset_x,-92.05724,-92.05724
qoffset_y,-107.88861,-107.88861
qoffset_z,-116.848816,-116.848816
srow_x,[0. 0. 0. 0.],[ 3.9950507e+00  3.2646589e-02 -2.2738887e-02 -9.2057243e+01]
srow_y,[0. 0. 0. 0.],[  -0.14613873    0.7918772     0.10989211 -107.88861   ]
srow_z,[0. 0. 0. 0.],[ 1.34962544e-01 -1.08925372e-01  7.92090058e-01 -1.16848816e+02]
intent_name,b'',b''
magic,b'n+1',b'n+1'
